TIC_ID,label,class_name,source,name,split
283722336,0,planet,NASA_Exoplanet_Archive,HD 219134 b,train
261136679,0,planet,NASA_Exoplanet_Archive,pi Men c,train
332064670,0,planet,NASA_Exoplanet_Archive,55 Cnc e,train
1042868,0,planet,NASA_Exoplanet_Archive,HD 88986 b,train
130181866,0,planet,NASA_Exoplanet_Archive,HD 63433 c,train
175193677,0,planet,NASA_Exoplanet_Archive,HD 73344 b,train
157910432,0,planet,NASA_Exoplanet_Archive,WASP-189 b,train
87216634,0,planet,NASA_Exoplanet_Archive,TOI-5789 c,train
21832928,0,planet,NASA_Exoplanet_Archive,TOI-2128 b,train
279741379,0,planet,NASA_Exoplanet_Archive,GJ 143 b,train
200723869,0,planet,NASA_Exoplanet_Archive,TOI-257 b,train
394137592,0,planet,NASA_Exoplanet_Archive,HD 1397 b,train
441462736,0,planet,NASA_Exoplanet_Archive,HD 221416 b,train
22221375,0,planet,NASA_Exoplanet_Archive,HD 86226 c,train
290348383,0,planet,NASA_Exoplanet_Archive,HD 207496 b,train
403224672,0,planet,NASA_Exoplanet_Archive,HD 213885 b,train
271478281,0,planet,NASA_Exoplanet_Archive,TOI-2194 b,train
263003176,0,planet,NASA_Exoplanet_Archive,HD 5278 b,train
392681545,0,planet,NASA_Exoplanet_Archive,TOI-6054.01,train
69679391,0,planet,NASA_Exoplanet_Archive,KELT-20 b,train
255930614,0,planet,NASA_Exoplanet_Archive,HD 149026 b,train
302773669,0,planet,NASA_Exoplanet_Archive,HD 17156 b,train
21535395,0,planet,NASA_Exoplanet_Archive,TOI-1776 b,train
100990000,0,planet,NASA_Exoplanet_Archive,HD 22946 d,train
464646604,0,planet,NASA_Exoplanet_Archive,HIP 94235 b,train
121214185,0,planet,NASA_Exoplanet_Archive,Kepler-21 b,train
467651916,0,planet,NASA_Exoplanet_Archive,TOI-4602.01,train
202426247,0,planet,NASA_Exoplanet_Archive,TOI-1860 b,train
75878355,0,planet,NASA_Exoplanet_Archive,TOI-2134 b,train
375506058,0,planet,NASA_Exoplanet_Archive,TOI-1431 b,train
304142124,0,planet,NASA_Exoplanet_Archive,HD 95338 b,train
410214986,0,planet,NASA_Exoplanet_Archive,DS Tuc A b,train
290131778,0,planet,NASA_Exoplanet_Archive,HD 202772 A b,train
129979528,0,planet,NASA_Exoplanet_Archive,WASP-33 b,train
307809773,0,planet,NASA_Exoplanet_Archive,HD 260655 b,train
349827430,0,planet,NASA_Exoplanet_Archive,KELT-24 b,train
453211454,0,planet,NASA_Exoplanet_Archive,HD 63935 b,train
391949880,0,planet,NASA_Exoplanet_Archive,TOI-128.01,train
23434737,0,planet,NASA_Exoplanet_Archive,TOI-1203.01,train
34068865,0,planet,NASA_Exoplanet_Archive,GJ 367 b,train
371443216,0,planet,NASA_Exoplanet_Archive,MASCARA-4 b,train
354619337,0,planet,NASA_Exoplanet_Archive,MASCARA-1 b,train
320004517,0,planet,NASA_Exoplanet_Archive,HD 183579 b,train
394172596,0,planet,NASA_Exoplanet_Archive,Kepler-444 b,train
333657795,0,planet,NASA_Exoplanet_Archive,HD 20329 b,train
31374837,0,planet,NASA_Exoplanet_Archive,TOI-431 d,train
207141131,0,planet,NASA_Exoplanet_Archive,HD 18599 b,train
